Level	Rule Name	Subject	Property	Value
ERROR	deprecated_class_reference	OMRSE:00000083	rdfs:subClassOf	OMRSE:00000100
ERROR	deprecated_class_reference	OMRSE:00000083	rdfs:subClassOf	OMRSE:00000127
ERROR	deprecated_class_reference	OMRSE:00000083	rdfs:subClassOf	OMRSE:00000128
ERROR	deprecated_class_reference	OMRSE:00000085	rdfs:subClassOf	OMRSE:00000001
ERROR	deprecated_class_reference	OMRSE:00000098	rdfs:subClassOf	OMRSE:00000185
ERROR	deprecated_class_reference	OMRSE:00000098	owl:equivalentClass	cb2687c0-bc21-4391-a5ad-cbaa96e643bdgenid279
ERROR	deprecated_class_reference	OMRSE:00000100	rdfs:subClassOf	OMRSE:00000083
ERROR	deprecated_class_reference	OMRSE:00000100	owl:equivalentClass	cb2687c0-bc21-4391-a5ad-cbaa96e643bdgenid293
ERROR	deprecated_class_reference	OMRSE:00000127	rdfs:subClassOf	OMRSE:00000083
ERROR	deprecated_class_reference	OMRSE:00000128	rdfs:subClassOf	OMRSE:00000083
ERROR	deprecated_class_reference	OMRSE:00000132	rdfs:subClassOf	OMRSE:00000145
ERROR	deprecated_class_reference	OMRSE:00000132	rdfs:subClassOf	OMRSE:00000179
ERROR	deprecated_class_reference	OMRSE:00000132	owl:equivalentClass	cb2687c0-bc21-4391-a5ad-cbaa96e643bdgenid357
ERROR	deprecated_class_reference	OMRSE:00000133	rdfs:subClassOf	OMRSE:00000138
ERROR	deprecated_class_reference	OMRSE:00000133	rdfs:subClassOf	OMRSE:00000141
ERROR	deprecated_class_reference	OMRSE:00000133	rdfs:subClassOf	OMRSE:00000507
ERROR	deprecated_class_reference	OMRSE:00000133	owl:equivalentClass	cb2687c0-bc21-4391-a5ad-cbaa96e643bdgenid366
ERROR	deprecated_class_reference	OMRSE:00000138	rdfs:subClassOf	OMRSE:00000133
ERROR	deprecated_class_reference	OMRSE:00000141	rdfs:subClassOf	OMRSE:00000133
ERROR	deprecated_class_reference	OMRSE:00000145	rdfs:subClassOf	OMRSE:00000132
ERROR	deprecated_class_reference	OMRSE:00000162	rdfs:subClassOf	IAO:0021003
ERROR	deprecated_class_reference	OMRSE:00000168	rdfs:subClassOf	cb2687c0-bc21-4391-a5ad-cbaa96e643bdgenid414
ERROR	deprecated_class_reference	OMRSE:00000168	rdfs:subClassOf	cb2687c0-bc21-4391-a5ad-cbaa96e643bdgenid415
ERROR	deprecated_class_reference	OMRSE:00000168	rdfs:subClassOf	OMRSE:00000176
ERROR	deprecated_class_reference	OMRSE:00000173	rdfs:subClassOf	BFO:0000040
ERROR	deprecated_class_reference	OMRSE:00000176	rdfs:subClassOf	OMRSE:00000168
ERROR	deprecated_class_reference	OMRSE:00000176	rdfs:subClassOf	OMRSE:00000177
ERROR	deprecated_class_reference	OMRSE:00000176	rdfs:subClassOf	OMRSE:00000178
ERROR	deprecated_class_reference	OMRSE:00000177	rdfs:subClassOf	OMRSE:00000176
ERROR	deprecated_class_reference	OMRSE:00000178	rdfs:subClassOf	OMRSE:00000176
ERROR	deprecated_class_reference	OMRSE:00000180	rdfs:subClassOf	OMRSE:00000185
ERROR	deprecated_class_reference	OMRSE:00000181	rdfs:subClassOf	OMRSE:00000185
ERROR	deprecated_class_reference	OMRSE:00000182	rdfs:subClassOf	OMRSE:00000185
ERROR	deprecated_class_reference	OMRSE:00000183	rdfs:subClassOf	OMRSE:00000185
ERROR	deprecated_class_reference	OMRSE:00000184	rdfs:subClassOf	OMRSE:00000185
ERROR	deprecated_class_reference	OMRSE:00000185	rdfs:subClassOf	OMRSE:00000098
ERROR	deprecated_class_reference	OMRSE:00000185	rdfs:subClassOf	OMRSE:00000180
